s,optionSymbol,underlying,expiration,side,strike,firstTraded,dte,updated,bid,bidSize,mid,ask,askSize,last,openInterest,volume,inTheMoney,intrinsicValue,extrinsicValue,underlyingPrice,iv,delta,gamma,theta,vega,rho
ok,SPY240614C00350000,SPY,1718395200,call,350.0,1714743000,0,1718309700,192.4,75,192.55,192.69,50,192.33,149,0,True,192.15,0.4,542.15,3.733,0.99,0.0,-1.395,0.737,0.943
ok,SPY240614C00355000,SPY,1718395200,call,355.0,1714743000,0,1718309700,187.41,100,187.55,187.69,100,0.0,0,0,True,187.15,0.4,542.15,3.639,0.99,0.0,-1.422,0.77,0.956
ok,SPY240614C00360000,SPY,1718395200,call,360.0,1714743000,0,1718309700,182.41,100,182.55,182.69,100,166.73,32,0,True,182.15,0.4,542.15,3.53,0.99,0.0,-1.411,0.788,0.97
ok,SPY240614C00365000,SPY,1718395200,call,365.0,1714743000,0,1718309700,177.41,100,177.55,177.69,100,163.62,10,0,True,177.15,0.4,542.15,3.424,0.989,0.0,-1.404,0.808,0.983
ok,SPY240614C00370000,SPY,1718395200,call,370.0,1714743000,0,1718309700,172.41,100,172.56,172.71,100,165.74,25,0,True,172.15,0.41,542.15,3.33,0.989,0.0,-1.424,0.843,0.996
ok,SPY240614C00375000,SPY,1718395200,call,375.0,1714743000,0,1718309700,167.42,100,167.56,167.7,100,160.4,8,0,True,167.15,0.41,542.15,3.226,0.988,0.0,-1.416,0.865,1.009
ok,SPY240614C00380000,SPY,1718395200,call,380.0,1714743000,0,1718309700,162.42,100,162.56,162.7,100,0.0,0,0,True,162.15,0.41,542.15,3.122,0.988,0.0,-1.406,0.887,1.022
ok,SPY240614C00385000,SPY,1718395200,call,385.0,1714743000,0,1718309700,157.42,100,157.56,157.71,100,0.0,0,0,True,157.15,0.42,542.15,3.021,0.988,0.0,-1.4,0.913,1.035
ok,SPY240614C00390000,SPY,1718395200,call,390.0,1714743000,0,1718309700,152.42,100,152.57,152.72,100,0.0,0,0,True,152.15,0.42,542.15,2.93,0.987,0.0,-1.418,0.953,1.048
ok,SPY240614C00395000,SPY,1718395200,call,395.0,1714743000,0,1718309700,147.43,100,147.57,147.71,100,137.57,121,0,True,147.15,0.42,542.15,2.829,0.986,0.0,-1.406,0.979,1.061
ok,SPY240614C00400000,SPY,1718395200,call,400.0,1714743000,0,1718309700,142.43,100,142.57,142.71,100,142.65,24,1,True,142.15,0.42,542.15,2.731,0.986,0.0,-1.399,1.009,1.074
ok,SPY240614C00405000,SPY,1718395200,call,405.0,1714743000,0,1718309700,137.43,100,137.57,137.71,100,115.31,1,0,True,137.15,0.42,542.15,2.633,0.986,0.0,-1.39,1.039,1.087
ok,SPY240614C00410000,SPY,1718395200,call,410.0,1714743000,0,1718309700,132.43,100,132.58,132.73,100,132.47,1,1,True,132.15,0.43,542.15,2.545,0.985,0.0,-1.407,1.088,1.1
ok,SPY240614C00415000,SPY,1718395200,call,415.0,1714743000,0,1718309700,127.44,100,127.58,127.72,100,108.97,2,0,True,127.15,0.43,542.15,2.447,0.984,0.0,-1.392,1.119,1.112
ok,SPY240614C00420000,SPY,1718395200,call,420.0,1714743000,0,1718309700,122.44,100,122.58,122.72,100,122.46,13,1,True,122.15,0.43,542.15,2.352,0.984,0.001,-1.383,1.156,1.125
ok,SPY240614C00425000,SPY,1718395200,call,425.0,1714743000,0,1718309700,117.44,100,117.59,117.73,100,109.43,13,0,True,117.15,0.44,542.15,2.256,0.983,0.001,-1.37,1.194,1.138
ok,SPY240614C00430000,SPY,1718395200,call,430.0,1714743000,0,1718309700,112.44,100,112.59,112.74,100,112.18,19,1,True,112.15,0.44,542.15,2.17,0.982,0.001,-1.384,1.254,1.15
ok,SPY240614C00435000,SPY,1718395200,call,435.0,1714743000,0,1718309700,107.45,100,107.59,107.73,100,106.66,14,10,True,107.15,0.44,542.15,2.076,0.981,0.001,-1.372,1.298,1.163
ok,SPY240614C00440000,SPY,1718395200,call,440.0,1714743000,0,1718309700,102.45,100,102.59,102.73,100,103.59,45,0,True,102.15,0.44,542.15,1.982,0.98,0.001,-1.356,1.344,1.175
ok,SPY240614C00445000,SPY,1718395200,call,445.0,1714743000,0,1718309700,97.45,100,97.59,97.74,100,96.92,33,1,True,97.15,0.45,542.15,1.889,0.98,0.001,-1.34,1.393,1.188
ok,SPY240614C00448000,SPY,1718395200,call,448.0,1717507800,0,1718309700,94.45,100,94.6,94.75,100,93.18,0,4,True,94.15,0.45,542.15,1.841,0.979,0.001,-1.357,1.448,1.194
ok,SPY240614C00449000,SPY,1718395200,call,449.0,1717507800,0,1718309700,93.45,100,93.6,93.75,100,0.0,0,0,True,93.15,0.45,542.15,1.822,0.978,0.001,-1.352,1.457,1.197
ok,SPY240614C00450000,SPY,1718395200,call,450.0,1714743000,0,1718309700,92.45,100,92.6,92.75,100,92.35,30,1,True,92.15,0.45,542.15,1.804,0.978,0.001,-1.351,1.47,1.199
ok,SPY240614C00451000,SPY,1718395200,call,451.0,1717507800,0,1718309700,91.45,100,91.6,91.75,100,0.0,0,0,True,91.15,0.45,542.15,1.785,0.978,0.001,-1.345,1.48,1.202
ok,SPY240614C00452000,SPY,1718395200,call,452.0,1717507800,0,1718309700,90.45,100,90.59,90.74,100,0.0,0,0,True,90.15,0.45,542.15,1.76,0.978,0.001,-1.32,1.471,1.205
ok,SPY240614C00453000,SPY,1718395200,call,453.0,1717507800,0,1718309700,89.45,100,89.59,89.74,100,89.94,0,1760,True,89.15,0.45,542.15,1.743,0.978,0.001,-1.318,1.485,1.207
ok,SPY240614C00454000,SPY,1718395200,call,454.0,1717507800,0,1718309700,88.46,100,88.6,88.74,100,0.0,0,0,True,88.15,0.45,542.15,1.73,0.978,0.001,-1.337,1.517,1.209
ok,SPY240614C00455000,SPY,1718395200,call,455.0,1714656600,0,1718309700,87.46,100,87.6,87.74,100,88.18,13,0,True,87.15,0.45,542.15,1.713,0.977,0.001,-1.336,1.531,1.212
ok,SPY240614C00456000,SPY,1718395200,call,456.0,1717507800,0,1718309700,86.46,100,86.6,86.74,100,0.0,0,0,True,86.15,0.45,542.15,1.694,0.977,0.001,-1.33,1.541,1.214
ok,SPY240614C00457000,SPY,1718395200,call,457.0,1717507800,0,1718309700,85.45,100,85.6,85.75,100,76.33,2,0,True,85.15,0.45,542.15,1.676,0.977,0.001,-1.328,1.556,1.216
ok,SPY240614C00458000,SPY,1718395200,call,458.0,1717507800,0,1718309700,84.46,100,84.6,84.75,100,0.0,0,0,True,84.15,0.46,542.15,1.658,0.976,0.001,-1.327,1.57,1.219
ok,SPY240614C00459000,SPY,1718395200,call,459.0,1717507800,0,1718309700,83.46,100,83.6,83.74,100,0.0,0,0,True,83.15,0.45,542.15,1.639,0.976,0.001,-1.32,1.58,1.221
ok,SPY240614C00460000,SPY,1718395200,call,460.0,1714656600,0,1718309700,82.46,100,82.6,82.74,100,81.2,37,1,True,82.15,0.45,542.15,1.621,0.976,0.001,-1.318,1.596,1.224
ok,SPY240614C00461000,SPY,1718395200,call,461.0,1717507800,0,1718309700,81.46,100,81.6,81.74,100,0.0,0,0,True,81.15,0.45,542.15,1.603,0.976,0.001,-1.314,1.608,1.226
ok,SPY240614C00462000,SPY,1718395200,call,462.0,1717507800,0,1718309700,80.46,100,80.6,80.75,100,0.0,0,0,True,80.15,0.46,542.15,1.584,0.976,0.001,-1.309,1.622,1.228
ok,SPY240614C00463000,SPY,1718395200,call,463.0,1717507800,0,1718309700,79.46,100,79.6,79.74,100,0.0,0,0,True,79.15,0.45,542.15,1.566,0.975,0.001,-1.307,1.637,1.231
ok,SPY240614C00464000,SPY,1718395200,call,464.0,1717507800,0,1718309700,78.46,100,78.6,78.74,100,0.0,0,0,True,78.15,0.45,542.15,1.548,0.975,0.001,-1.303,1.651,1.233
ok,SPY240614C00465000,SPY,1718395200,call,465.0,1714656600,0,1718309700,77.46,100,77.6,77.75,100,78.81,73,0,True,77.15,0.46,542.15,1.529,0.975,0.001,-1.298,1.664,1.235
