updated date,expiration date,ticker,Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,Rho,Volume,Open Interest,Vol/OI,Type,Last Trade,Avg IV
20230905,20230908,aapl,50.00,129.85,139.5,337.41%,0.99943,2.00E-05,-0.01658,4.20E-04,8.19E-03,0,2,0,Call,08/28/23,15.38%
20230905,20230908,aapl,60.00,119.8,129.9,433.38%,0.99049,2.40E-04,-0.22792,6.15E-03,9.49E-03,0,1,0,Call,08/28/23,15.38%
20230905,20230908,aapl,65.00,0,124.7,366.38%,0.99394,1.90E-04,-0.13235,4.12E-03,1.05E-02,0,0,0,Call,,15.38%
20230905,20230908,aapl,70.00,0,120.5,441.27%,0.97945,4.60E-04,-0.44805,1.20E-02,1.07E-02,0,0,0,Call,,15.38%
20230905,20230908,aapl,75.00,0,114.75,328.51%,0.99199,2.70E-04,-0.15268,5.28E-03,1.20E-02,0,0,0,Call,,15.38%
20230905,20230908,aapl,80.00,0,109.95,335.61%,0.98673,4.20E-04,-0.23902,8.24E-03,1.27E-02,0,0,0,Call,,15.38%
20230905,20230908,aapl,85.00,103.89,104.7,276.47%,0.99258,3.00E-04,-0.12327,4.93E-03,1.37E-02,1,1,1,Call,09/01/23,15.38%
20230905,20230908,aapl,90.00,0,99.85,280.83%,0.98768,4.70E-04,-0.19088,7.72E-03,1.44E-02,0,0,0,Call,,15.38%
20230905,20230908,aapl,95.00,0,95.3,302.93%,0.9757,7.70E-04,-0.35949,1.38E-02,1.47E-02,0,0,0,Call,,15.38%
20230905,20230908,aapl,100.00,89.18,89.8,237.49%,0.9878,5.50E-04,-0.16315,7.66E-03,1.60E-02,7,0,0,Call,09/01/23,15.38%
20230905,20230908,aapl,105.00,0,85.15,253.13%,0.97625,9.10E-04,-0.29807,1.36E-02,1.64E-02,0,0,0,Call,,15.38%
20230905,20230908,aapl,110.00,72.62,79.7,190.74%,0.99049,5.50E-04,-0.11093,6.15E-03,1.78E-02,0,1,0,Call,08/29/23,15.38%
20230905,20230908,aapl,115.00,0,74.6,154.69%,0.99552,3.40E-04,-0.05446,3.13E-03,1.87E-02,0,0,0,Call,,15.38%
20230905,20230908,aapl,120.00,56.85,69.78,171.51%,0.98567,8.70E-04,-0.14037,8.81E-03,1.92E-02,0,2,0,Call,08/22/23,15.38%
20230905,20230908,aapl,125.00,63.98,64.65,140.22%,0.99188,6.50E-04,-0.07794,5.35E-03,2.03E-02,2,7,0.29,Call,09/01/23,15.38%
20230905,20230908,aapl,130.00,47.5,59.87,152.85%,0.97843,1.39E-03,-0.17501,1.25E-02,2.06E-02,0,3,0,Call,08/16/23,15.38%
20230905,20230908,aapl,135.00,49.2,54.85,137.30%,0.97811,1.56E-03,-0.16137,1.27E-02,2.15E-02,0,50,0,Call,08/30/23,15.38%
20230905,20230908,aapl,140.00,49.29,50.65,162.10%,0.94095,2.98E-03,-0.40182,2.86E-02,2.10E-02,11,101,0.11,Call,09/01/23,15.38%
20230905,20230908,aapl,145.00,43.55,44.85,111.53%,0.97417,2.21E-03,-0.15317,1.46E-02,2.30E-02,1,30,0.03,Call,09/01/23,15.38%
20230905,20230908,aapl,150.00,39.38,39.7,87.29%,0.98412,1.87E-03,-0.08885,9.62E-03,2.41E-02,1,78,0.01,Call,09/01/23,15.38%
20230905,20230908,aapl,152.50,35.2,37.25,86.17%,0.97857,2.44E-03,-0.10837,1.24E-02,2.44E-02,0,34,0,Call,08/30/23,15.38%
20230905,20230908,aapl,155.00,34.23,35.25,104.66%,0.94161,4.58E-03,-0.26526,2.83E-02,2.35E-02,114,84,1.36,Call,09/01/23,15.38%
20230905,20230908,aapl,157.50,30.2,32.1,55.48%,0.99581,9.00E-04,-0.03391,2.95E-03,2.57E-02,0,121,0,Call,08/30/23,15.38%
20230905,20230908,aapl,160.00,29.35,29.65,60.15%,0.98737,2.22E-03,-0.05997,7.89E-03,2.59E-02,109,461,0.24,Call,09/01/23,15.38%
20230905,20230908,aapl,162.50,26.65,27.15,55.07%,0.98672,2.53E-03,-0.0586,8.24E-03,2.63E-02,6,117,0.05,Call,09/01/23,15.38%
20230905,20230908,aapl,165.00,24.23,24.65,50.05%,0.98596,2.93E-03,-0.05719,8.65E-03,2.67E-02,188,1155,0.16,Call,09/01/23,15.38%
20230905,20230908,aapl,167.50,21.8,22.15,45.08%,0.98506,3.43E-03,-0.05576,9.12E-03,2.70E-02,46,374,0.12,Call,09/01/23,15.38%
20230905,20230908,aapl,170.00,19.65,19.65,40.16%,0.98397,4.09E-03,-0.05428,9.70E-03,2.74E-02,224,1329,0.17,Call,09/01/23,15.38%
20230905,20230908,aapl,172.50,16.5,17.15,35.29%,0.98261,4.99E-03,-0.05274,1.04E-02,2.78E-02,72,322,0.22,Call,09/01/23,15.38%
20230905,20230908,aapl,175.00,14.65,14.65,30.45%,0.98085,6.28E-03,-0.05113,1.13E-02,2.81E-02,294,4675,0.06,Call,09/01/23,15.38%
20230905,20230908,aapl,177.50,12.2,12.2,28.81%,0.9644,1.12E-02,-0.06804,1.90E-02,2.80E-02,527,2587,0.2,Call,09/01/23,15.38%
20230905,20230908,aapl,180.00,9.61,9.7,23.61%,0.9584,1.55E-02,-0.06509,2.16E-02,2.83E-02,3553,9384,0.38,Call,09/01/23,15.38%
20230905,20230908,aapl,182.50,7.19,7.19,17.93%,0.95286,2.26E-02,-0.05853,2.39E-02,2.85E-02,1802,5817,0.31,Call,09/01/23,15.38%
20230905,20230908,aapl,185.00,4.85,4.85,16.59%,0.87858,5.00E-02,-0.08903,4.90E-02,2.66E-02,34366,18298,1.88,Call,09/01/23,15.38%
20230905,20230908,aapl,187.50,2.82,2.82,16.00%,0.71085,8.80E-02,-0.12811,8.30E-02,2.17E-02,50328,24504,2.05,Call,09/01/23,15.38%
20230905,20230908,aapl,190.00,1.29,1.29,15.22%,0.46197,1.07E-01,-0.13375,9.65E-02,1.42E-02,69656,40261,1.73,Call,09/01/23,15.38%
20230905,20230908,aapl,192.50,0.48,0.48,15.39%,0.22458,8.02E-02,-0.09888,7.28E-02,6.92E-03,22633,8612,2.63,Call,09/01/23,15.38%
20230905,20230908,aapl,195.00,0.17,0.17,16.36%,0.09251,4.17E-02,-0.0572,4.03E-02,2.85E-03,15518,18757,0.83,Call,09/01/23,15.38%
20230905,20230908,aapl,197.50,0.08,0.08,18.49%,0.04386,2.07E-02,-0.03585,2.26E-02,1.35E-03,4023,4501,0.89,Call,09/01/23,15.38%
20230905,20230908,aapl,200.00,0.05,0.05,21.22%,0.02578,1.16E-02,-0.02641,1.46E-02,8.00E-04,10915,7084,1.54,Call,09/01/23,15.38%
20230905,20230908,aapl,202.50,0.03,0.03,23.47%,0.01498,6.63E-03,-0.01834,9.19E-03,4.60E-04,1047,1245,0.84,Call,09/01/23,15.38%
20230905,20230908,aapl,205.00,0.02,0.02,25.79%,0.00955,4.09E-03,-0.01361,6.22E-03,2.90E-04,743,4663,0.16,Call,09/01/23,15.38%
20230905,20230908,aapl,207.50,0.03,0.03,30.78%,0.01177,4.10E-03,-0.01943,7.46E-03,3.60E-04,483,753,0.64,Call,09/01/23,15.38%
20230905,20230908,aapl,210.00,0.02,0.02,32.62%,0.00774,2.69E-03,-0.01425,5.17E-03,2.40E-04,159,1776,0.09,Call,09/01/23,15.38%
20230905,20230908,aapl,212.50,0.02,0.02,35.91%,0.0071,2.26E-03,-0.01452,4.80E-03,2.20E-04,185,539,0.34,Call,09/01/23,15.38%
20230905,20230908,aapl,215.00,0.01,0.01,36.30%,0.00373,1.26E-03,-0.00827,2.70E-03,1.10E-04,69,2336,0.03,Call,09/01/23,15.38%
20230905,20230908,aapl,220.00,0.01,0.01,42.18%,0.00325,9.60E-04,-0.00849,2.39E-03,1.00E-04,96,5538,0.02,Call,09/01/23,15.38%
20230905,20230908,aapl,225.00,0.01,0.01,47.84%,0.0029,7.60E-04,-0.00868,2.16E-03,9.00E-05,2,390,0.01,Call,09/01/23,15.38%
20230905,20230908,aapl,230.00,0.01,0.01,53.30%,0.00263,6.30E-04,-0.00884,1.98E-03,8.00E-05,1,966,0,Call,09/01/23,15.38%
20230905,20230908,aapl,235.00,0.01,0,0.00%,0,0.00E+00,0,0.00E+00,0.00E+00,0,1042,0,Call,08/30/23,15.38%
20230905,20230908,aapl,240.00,0.01,0,0.00%,0,0.00E+00,0,0.00E+00,0.00E+00,0,95,0,Call,08/14/23,15.38%
20230905,20230908,aapl,245.00,0.01,0,0.00%,0,0.00E+00,0,0.00E+00,0.00E+00,0,612,0,Call,08/23/23,15.38%
20230905,20230908,aapl,250.00,0.01,0,0.00%,0,0.00E+00,0,0.00E+00,0.00E+00,0,216,0,Call,08/10/23,15.38%
20230905,20230908,aapl,255.00,0.01,0,0.00%,0,0.00E+00,0,0.00E+00,0.00E+00,0,224,0,Call,08/25/23,15.38%
20230905,20230908,aapl,260.00,0.01,0,0.00%,0,0.00E+00,0,0.00E+00,0.00E+00,0,24,0,Call,08/10/23,15.38%
20230905,20230908,aapl,265.00,0.01,0,0.00%,0,0.00E+00,0,0.00E+00,0.00E+00,0,28,0,Call,08/29/23,15.38%
